4/22/79,MONY Tournament of Champions,300000,275,-13,Tom Watson,,54000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/16/78,MONY Tournament of Champions,225000,281,-7,Gary Player,,45000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/17/77,MONY Tournament of Champions,225000,281,-7,Jack Nicklaus ,p,45000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/18/76,MONY Tournament of Champions,225000,277,-11,Don January,,45000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/27/75,MONY Tournament of Champions,200000,277,-11,Al Geiberger ,p,40000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/28/74,Tournament of Champions,200000,280,-8,Johnny Miller,,40000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/22/73,Tournament of Champions,200000,276,-12,Jack Nicklaus,,40000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/23/72,Tournament of Champions,165000,280,-8,Bobby Mitchell ,p,33000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/25/71,Tournament of Champions,165000,279,-9,Jack Nicklaus,,33000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/26/70,Tournament of Champions,150000,273,-15,Frank Beard,,30000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/20/69,Tournament of Champions,150000,284,-4,Gary Player,,30000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/21/68,Tournament of Champions,150000,276,-8,Don January,,30000,Stardust CC, Las Vegas, NV ,,71,6725,,
4/16/67,Tournament of Champions,100000,278,-6,Frank Beard,,20000,Stardust CC, Las Vegas, NV ,,71,6725,,
4/18/66,Tournament of Champions,100000,283,-5,Arnold Palmer ,p,20000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
5/2/65,Tournament of Champions,75000,277,-11,Arnold Palmer,,14000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
5/3/64,Tournament of Champions,65000,279,-9,Jack Nicklaus,,12000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
5/5/63,Tournament of Champions,59000,273,-15,Jack Nicklaus,,13000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
5/6/62,Tournament of Champions,58000,276,-12,Arnold Palmer,,11000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
5/7/61,Tournament of Champions,52000,273,-15,Sam Snead,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
5/8/60,Tournament of Champions,42400,268,-20,Jerry Barber,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
4/26/59,Tournament of Champions,46620,281,-7,Mike Souchak,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
4/27/58,Tournament of Champions,40000,275,-13,Stan Leonard,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
4/21/57,Tournament of Champions,40000,285,-3,Gene Littler,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
4/29/56,Tournament of Champions,38500,281,-7,Gene Littler,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
5/1/55,Tournament of Champions,35000,280,-8,Gene Littler,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
4/25/54,Tournament of Champions,35000,278,-10,Art Wall,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
4/26/53,Tournament of Champions,35000,280,-8,Al Besselink,,10000,Desert Inn CC, Las Vegas, NV ,,72,7209,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1/15/23,Sony Open in Hawaii,7900000,262,-18,Si Woo Kim,,1422000,Waialae Country Club, Honolulu, HI ,,70,7044,,
1/16/22,Sony Open in Hawaii,7500000,257,-23,Hideki Matsuyama ,p,1350000,Waialae Country Club, Honolulu, HI ,,70,7044,,
1/17/21,Sony Open in Hawaii,6600000,259,-21,Kevin Na,,1188000,Waialae Country Club, Honolulu, HI ,,70,7044,,
1/12/20,Sony Open in Hawaii,6600000,269,-11,Cameron Smith ,p,1188000,Waialae Country Club, Honolulu, HI ,,70,7044,,
1/13/19,Sony Open in Hawaii,6400000,258,-22,Matt Kuchar,,1152000,Waialae CC, Honolulu, HI ,,70,7044,,
1/14/18,Sony Open in Hawaii,6200000,263,-17,Patton Kizzire ,p,1116000,Waialae CC, Honolulu, HI ,,70,7044,,
1/15/17,Sony Open in Hawaii,6000000,253,-27,Justin Thomas,,1080000,Waialae CC, Honolulu, HI ,,70,7044,,
1/17/16,Sony Open in Hawaii,5800000,260,-20,Fabián Gómez ,p,1044000,Waialae CC, Honolulu, HI ,,70,7044,,
1/18/15,Sony Open in Hawaii,5600000,257,-23,Jimmy Walker,,1008000,Waialae CC, Honolulu, HI ,,70,7044,,
1/12/14,Sony Open in Hawaii,5600000,263,-17,Jimmy Walker,,1008000,Waialae CC, Honolulu, HI ,,70,7044,,
1/13/13,Sony Open in Hawaii,5600000,256,-24,Russell Henley,,1008000,Waialae CC, Honolulu, HI ,,70,7044,,
1/15/12,Sony Open in Hawaii,5500000,267,-13,Johnson Wagner,,990000,Waialae CC, Honolulu, HI ,,70,7044,,
1/16/11,Sony Open in Hawaii,5500000,264,-16,Mark Wilson,,990000,Waialae CC, Honolulu, HI ,,70,7044,,
1/17/10,Sony Open in Hawaii,5500000,265,-15,Ryan Palmer,,990000,Waialae CC, Honolulu, HI ,,70,7044,,
1/18/09,Sony Open in Hawaii,5400000,265,-15,Zach Johnson,,972000,Waialae CC, Honolulu, HI ,,70,7044,,
1/13/08,Sony Open in Hawaii,5300000,266,-14,K.J. Choi,,954000,Waialae CC, Honolulu, HI ,,70,7044,,
1/14/07,Sony Open in Hawaii,5200000,266,-14,Paul Goydos,,936000,Waialae CC, Honolulu, HI ,,70,7044,,
1/15/06,Sony Open in Hawaii,5100000,261,-19,David Toms,,918000,Waialae CC, Honolulu, HI ,,70,7060,,
