winner_id,cal_year,player_id,winner,wins
699,1982,2084,Bob Shearer,1
700,1982,1197,Bobby Clampett,1
701,1982,1690,Bruce Lietzke,1
702,1982,1935,Calvin Peete,4
703,1982,2133,Craig Stadler,4
704,1982,1305,Danny Edwards,1
705,1982,1346,Ed Fiori,1
706,1982,2120,Ed Sneed,1
707,1982,2170,Hal Sutton,1
708,1982,1559,Hale Irwin,1
709,1982,1869,Jack Nicklaus,1
710,1982,1457,Jay Haas,2
711,1982,1925,Jerry Pate,1
712,1982,2098,Jim Simons,1
713,1982,1815,Johnny Miller,1
714,1982,1334,Keith Fergus,1
715,1982,2242,Lanny Wadkins,3
716,1982,2146,Payne Stewart,1
717,1982,1355,Raymond Floyd,3
718,1982,1527,Scott Hoch,1
719,1982,1877,Tim Norris,1
720,1982,1633,Tom Kite,1
721,1982,2256,Tom Watson,4
722,1982,2268,Tom Weiskopf,1
723,1982,1682,Wayne Levi,2
724,1983,1235,Ben Crenshaw,1
725,1983,2016,Bill Rogers,1
726,1983,1414,Bob Gilder,1
727,1983,1935,Calvin Peete,2
728,1983,2159,Curtis Strange,1
729,1983,1305,Danny Edwards,1
730,1983,1436,David Graham,1
731,1983,1226,Fred Couples,1
732,1983,2321,Fuzzy Zoeller,2
733,1983,1468,Gary Hallberg,1
734,1983,1641,Gary Koch,1
735,1983,1837,Gil Morgan,2
736,1983,2170,Hal Sutton,2
737,1983,1559,Hale Irwin,1
738,1983,1030,Isao Aoki,1
739,1983,1205,Jim Colbert,2
740,1983,1219,John Cook,1
741,1983,1815,Johnny Miller,1
742,1983,1334,Keith Fergus,1
743,1983,2242,Lanny Wadkins,2
744,1983,1823,Larry Mize,1
745,1983,1864,Larry Nelson,1
746,1983,1715,Mark Lye,1
747,1983,1783,Mark McCumber,2
748,1983,1871,Mike Nicolette,1
749,1983,1495,Morris Hatalsky,1
750,1983,1968,Nick Price,1
751,1983,1692,Pat Lindsey,1
752,1983,2146,Payne Stewart,1
753,1983,1162,Rex Caldwell,1
754,1983,1093,Ronnie Black,1
755,1983,1051,Seve Ballesteros,2
756,1983,1633,Tom Kite,1
757,1983,2256,Tom Watson,1
758,1983,1682,Wayne Levi,1
759,1984,1068,Andy Bean,1
760,1984,1235,Ben Crenshaw,1
761,1984,1648,Billy Kratzert,1
762,1984,1303,Bob Eastwood,2
763,1984,1690,Bruce Lietzke,1
764,1984,1935,Calvin Peete,1
765,1984,1928,Corey Pavin,1
766,1984,2133,Craig Stadler,1
767,1984,2159,Curtis Strange,1
768,1984,1306,David Edwards,1
769,1984,2255,Denis Watson,3
770,1984,1226,Fred Couples,1
771,1984,2321,Fuzzy Zoeller,1
